DATE,DEX,AMOUNT,TRADERS
2021-09-01,ref,71756.47,162
2022-11-21,ref,613863.42,34
2022-01-01,ref,438610.14,47
2022-01-23,ref,732990.28,60
2022-06-01,jumbo,311.61,3
2022-04-07,jumbo,27.6,3
2021-10-01,ref,785349.12,152
2021-11-01,ref,898100.32,191
2022-06-01,ref,1176006.31,44
2022-03-17,ref,488794.74,12
2022-10-18,ref,156646.63,21
2022-06-17,ref,1396164.75,28
2022-07-27,ref,958005.23,21
2022-10-21,ref,329130.29,18
2022-06-23,jumbo,203.04,4
2022-02-14,ref,217589.55,32
2021-09-22,ref,1377707.04,130
2022-05-04,ref,669515.73,39
2021-11-06,ref,246615.14,127
2022-10-07,ref,102934.89,22
2022-07-07,ref,914697.55,24
2021-09-18,ref,686306.68,132
2022-08-26,jumbo,0.16,2
2022-03-10,jumbo,33.82,2
2022-07-31,jumbo,0.31,2
2022-09-26,jumbo,0.98,1
2022-06-26,ref,968900.42,33
2022-02-03,ref,185503.67,37
2021-09-06,ref,313959.69,123
2021-11-13,ref,304670.67,83
2021-09-15,ref,683860.34,110
2022-04-06,ref,1058291.06,47
2022-03-16,ref,505533.97,14
2022-06-21,jumbo,278.79,4
2022-03-16,jumbo,11.95,1
2022-08-25,jumbo,6.13,3
2022-07-28,jumbo,0.26,2
2022-04-23,jumbo,3.69,1
2022-03-03,ref,1060964.95,43
2021-09-24,ref,1674056.3,167
2022-05-13,ref,4986541.32,78
2022-08-15,ref,611746.23,40
2022-05-19,ref,544703.4,50
2022-10-06,ref,140670.82,20
2022-07-03,ref,358971.64,28
2022-04-17,jumbo,10.91,4
2022-09-29,ref,613087.72,31
2021-11-19,ref,846962.2,166
2022-05-22,ref,222557.2,28
2021-10-13,ref,214304.74,151
2022-11-02,ref,446079.18,29
2022-09-30,ref,195446.62,28
2022-09-01,ref,399826.39,29
2022-02-01,ref,380237.47,40
2022-07-12,jumbo,105.96,2
2022-08-09,jumbo,0.19,1
2022-04-19,jumbo,4.25,2
2022-06-30,jumbo,275.61,4
2022-02-19,ref,571538.84,50
2021-09-28,ref,232104.52,214
2021-11-12,ref,766687.77,108
2021-11-28,ref,726196.11,59
2022-10-03,ref,186361.9,31
2022-08-27,ref,279279.46,33
2022-09-18,ref,225946.85,47
2022-02-21,ref,721392.64,40
2022-08-24,ref,474837.92,16
2022-11-09,ref,2002404.32,37
2022-06-28,ref,373631.04,38
2022-10-25,ref,362380.94,23
2022-06-22,jumbo,225.92,4
2022-08-03,jumbo,44.5,6
2022-04-15,jumbo,5.75,2
2022-07-24,jumbo,125.31,3
2022-09-11,jumbo,0.02,1
2022-01-25,ref,714502.17,55
2021-12-07,ref,445043.01,57
2022-01-07,ref,1158937.03,57
2022-07-08,ref,638807.63,37
2022-10-28,ref,471540.93,19
2022-10-24,jumbo,0.59,2
2022-06-29,jumbo,323.7,4
2022-09-13,ref,974725.75,44
2021-11-04,ref,581044.65,161
2021-11-07,ref,247801.71,161
2022-04-11,ref,818711.37,47
2022-03-07,ref,501529.58,25
2022-06-06,jumbo,102.85,4
2022-06-22,ref,1149093.01,38
2022-07-25,jumbo,232.65,3
2022-07-09,ref,785219.07,23
2022-03-19,jumbo,193.68,4
2022-06-16,jumbo,301.08,3
2022-03-30,jumbo,2.45,1
2022-08-23,jumbo,0.11,2
2022-07-04,ref,543475.18,24
2022-07-06,jumbo,16.08,2
2022-07-15,jumbo,155.77,4
2021-09-20,ref,1765292.21,209
2022-04-08,ref,1980814.26,61
